Journal title,Eligible,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
Clinical Medicine Insights. Arthritis and Musculoskeletal Disorders,0,Clin Med Insights Arthritis Musculoskelet Disord,,1179-5441,SAGE Publications,101542737,v.11;2018,v.3;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1400/
Clinical Medicine Insights: Blood Disorders,0,Clin Med Insights Blood Disord,,1179-545X,SAGE Publications,101640243,v.12;2019,v.6;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2629/
Clinical Medicine Insights. Cardiology,0,Clin Med Insights Cardiol,,1179-5468,SAGE Publications,101525768,v.12;2018,v.4;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1227/
Clinical Medicine Insights. Case Reports,0,Clin Med Insights Case Rep,,1179-5476,SAGE Publications,101531893,v.11;2018,v.3;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1444/
"Clinical Medicine Insights. Circulatory, Respiratory and Pulmonary Medicine",0,Clin Med Insights Circ Respir Pulm Med,,1179-5484,SAGE Publications,101537753,v.12;2018,v.4;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1398/
"Clinical Medicine Insights. Ear, Nose and Throat",0,Clin Med Insights Ear Nose Throat,,1179-5506,SAGE Publications,101613518,v.12;2019,v.4;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2196/
Clinical Medicine Insights. Endocrinology and Diabetes,0,Clin Med Insights Endocrinol Diabetes,,1179-5514,SAGE Publications,101578235,v.12;2019,v.3;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1862/
Clinical Medicine Insights. Gastroenterology,0,Clin Med Insights Gastroenterol,,1179-5522,SAGE Publications,101531842,v.11;2018,v.5;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2409/
Clinical Medicine Insights. Oncology,0,Clin Med Insights Oncol,,1179-5549,SAGE Publications,101525771,v.13;2019,v.4;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1225/
Clinical Medicine Insights. Pathology,0,Clin Med Insights Pathol,,1179-5557,SAGE Publications,101542736,v.11;2018,v.3;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1396/
Clinical Medicine Insights. Pediatrics,0,Clin Med Insights Pediatr,,1179-5565,SAGE Publications,101595023,v.13;2019,v.4;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2058/
Clinical Medicine Insights. Reproductive Health,0,Clin Med Insights Reprod Health,,1179-5581,SAGE Publications,101600601,v.12;2018,v.5;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2294/
Clinical Medicine Insights. Women's Health,0,Clin Med Insights Womens Health,,1179-562X,SAGE Publications,101623152,v.11;2018,v.4;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2345/
Clinical Medicine. Oncology,0,Clin Med Oncol,,1177-9314,Libertas Academica,101467911,v.3;2009,v.2;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1226/
Clinical Medicine. Pathology,0,Clin Med Pathol,,1178-1181,Libertas Academica,101473729,v.2;2009,v.1;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/1397/
Clinical Medicine. Pediatrics,0,Clin Med Pediatr,,1178-220X,Libertas Academica,101514106,v.3;2009,v.3;2009,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/2118/
Clinical Medicine &#x0026; Research,0,Clin Med Res,1539-4182,1554-6179,Marshfield Clinic,101175887,v.16(3-4);Dec 2018,v.1;2003,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/252/
Clinical Microbiology Reviews,0,Clin Microbiol Rev,0893-8512,1098-6618,American Society for Microbiology (ASM),8807282,v.32(1);Jan 2019,v.1;1988,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/85/
Clinical and Molecular Allergy : CMA,0,Clin Mol Allergy,,1476-7961,BioMed Central,101152195,v.17;2019,v.1;2003,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/226/
Clinical and Molecular Hepatology,0,Clin Mol Hepatol,2287-2728,2287-285X,Korean Association for the Study of the Liver,101586730,v.24(4);Dec 2018,v.18;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1864/
Clinical Molecular Pathology,0,Clin Mol Pathol,1355-2910,,BMJ Publishing Group,9507411,v.49(6);Dec 1996,v.48;1995,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/164/
Clinical Nephrology,0,Clin Nephrol,0301-0430,,Dustri-Verlag,364441,v.90(4);Oct 2018,v.77;2012,Immediate,All, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Nephrol%22%5Bjournal%5D
Clinical Nephrology. Case Studies,0,Clin Nephrol Case Stud,,2196-5293,Dustri-Verlag,101638685,v.6;2018,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3217/
Clinical Neuropathology,0,Clin Neuropathol,0722-5091,,Dustri-Verlag,8214420,v.38(1);Jan-Feb 2019,v.30;2011,Immediate,All, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Clin+Neuropathol%22%5Bjournal%5D
Clinical Neurophysiology Practice,0,Clin Neurophysiol Pract,,2467-981X,Elsevier,101684308,v.4;2019,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3531/
Clinical Nutrition Research,0,Clin Nutr Res,2287-3732,2287-3740,Korean Society of Clinical Nutrition,101592483,v.7(4);Oct 2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2007/
"Clinical Ophthalmology (Auckland, N.Z.)",0,Clin Ophthalmol,1177-5467,1177-5483,Dove Press,101321512,v.13;2019,v.1;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/909/
Clinical Optometry,0,Clin Optom (Auckl),,1179-2752,Dove Press,101730504,v.11;2019,v.8;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3520/
Clinical Orthopaedics and Related Research,0,Clin Orthop Relat Res,0009-921X,1528-1132,The Association of Bone and Joint Surgeons,75674,v.476(6);Jun 2018,v.466;2008,12 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/592/
Clinics in Orthopedic Surgery,0,Clin Orthop Surg,2005-291X,2005-4408,Korean Orthopaedic Association,101505087,v.10(4);Dec 2018,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/971/
Clinical Pediatric Endocrinology,0,Clin Pediatr Endocrinol,0918-5739,1347-7358,"IPEC, Inc.",9433330,v.27(4);2018,v.13;2004,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2112/
Clinical Pharmacology : Advances and Applications,0,Clin Pharmacol,,1179-1438,Dove Press,101564865,v.11;2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1697/
Clinics and Practice,0,Clin Pract,2039-7275,2039-7283,PAGEPress,101563282,"v.8(4);Oct 26, 2018",v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2321/
Clinical Practice and Cases in Emergency Medicine,0,Clin Pract Cases Emerg Med,,2474-252X,"Department of Emergency Medicine, University of California Irvine",101718968,v.2(4);Nov 2018,v.1;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3439/
Clinical Practice and Epidemiology in Mental Health : CP &#x0026; EMH,0,Clin Pract Epidemiol Ment Health,,1745-0179,Bentham Science Publishers and BioMed Central,101245735,v.14;2018,v.1;2005,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/322/
Clinical Proteomics,0,Clin Proteomics,1542-6416,1559-0275,BioMed Central,101184586,v.16;2019,v.7;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1570/
Clinical Psychopharmacology and Neuroscience,0,Clin Psychopharmacol Neurosci,1738-1088,2093-4327,Korean College of Neuropsychopharmacology,101207332,v.16(4);Nov 2018,v.9;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2011/
Clinical Sarcoma Research,0,Clin Sarcoma Res,,2045-3329,BioMed Central,101577890,v.9;2019,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1797/
Clinical and Translational Allergy,0,Clin Transl Allergy,,2045-7022,BioMed Central,101576043,v.9;2019,v.1;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1751/
Clinical and Translational Gastroenterology,0,Clin Transl Gastroenterol,,2155-384X,Nature Publishing Group,101532142,v.9(12);Dec 2018,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1564/
Clinical &#x0026; Translational Immunology,0,Clin Transl Immunology,,2050-0068,Australasian Society of Immunology,101638268,v.7(12);2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2610/
Clinical and Translational Medicine,0,Clin Transl Med,,2001-1326,Springer-Verlag,101597971,v.8;2019,v.1;2012,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1991/
Clinical and Translational Radiation Oncology,0,Clin Transl Radiat Oncol,,2405-6308,Elsevier,101713416,v.15;Feb 2019,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3371/
Clinical and Translational Science,0,Clin Transl Sci,1752-8054,1752-8062,Wiley-Blackwell,101474067,v.12(1);Jan 2019,v.1;2008,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2996/
Clinical and Vaccine Immunology : CVI,0,Clin Vaccine Immunol,1556-6811,1556-679X,American Society for Microbiology (ASM),101252125,v.24(12);Dec 2017,v.13;2006,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/372/
ClinicoEconomics and Outcomes Research: CEOR,0,Clinicoecon Outcomes Res,,1178-6981,Dove Press,101560564,v.11;2019,v.1;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1576/
Clinics,0,Clinics (Sao Paulo),1807-5932,1980-5322,Hospital das Clinicas da Faculdade de Medicina da Universidade de Sao Paulo,101244734,v.73;2018,v.63;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/795/
Cloning and Stem Cells,0,Cloning Stem Cells,1536-2302,1557-7457,"Mary Ann Liebert, Inc.",101125444,v.11(4);Dec 2009,v.10;2008,12 months,No, NIH Portfolio , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Cloning+Stem+Cells%22%5Bjournal%5D
Clujul Medical,0,Clujul Med,1222-2119,2066-8872,"Universty of Medicine and Pharmacy of Cluj-Napoca, Romania",101653053,v.91(4);Oct 2018,v.86;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2726/
CMAJ : Canadian Medical Association Journal,0,CMAJ,0820-3946,1488-2329,Canadian Medical Association,9711805,"v.191(4);Jan 28, 2019",v.134;1986,0 months or more,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/77/
CMAJ Open,0,CMAJ Open,,2291-0026,Canadian Medical Association,101620603,v.7(1);Jan-Mar 2019,v.1;2013,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2389/
CNS Oncology,0,CNS Oncol,2045-0907,2045-0915,Future Science Group,101594668,v.7(4);Dec 2018,v.1;2012,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3040/
Cognitive Neurodynamics,0,Cogn Neurodyn,1871-4080,1871-4099,Springer Science+Business Media B.V.,101306907,v.13(1);Feb 2019,v.1;2007,12 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/538/
Cognitive Research: Principles and Implications,0,Cogn Res Princ Implic,,2365-7464,Springer,101697632,v.3;Dec 2018,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3474/
Cold Spring Harbor Molecular Case Studies,0,Cold Spring Harb Mol Case Stud,,2373-2873,Cold Spring Harbor Laboratory Press,101660017,v.4(6);Dec 2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2950/
Cold Spring Harbor Perspectives in Biology,0,Cold Spring Harb Perspect Biol,,1943-0264,Cold Spring Harbor Laboratory Press,101513680,v.11(1);Jan 2019,v.1;2009,24 months or less,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/952/
Cold Spring Harbor Perspectives in Medicine,0,Cold Spring Harb Perspect Med,,2157-1422,Cold Spring Harbor Laboratory Press,101571139,v.9(1);Jan 2019,v.1;2011,24 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1672/
Colombia M&#x000e9;dica : CM,0,Colomb Med (Cali),0120-8322,1657-9534,Universidad del Valle,9212578,v.49(4);Oct-Dec 2018,v.43;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2387/
Communications Biology,0,Commun Biol,,2399-3642,Nature Publishing Group,101719179,v.2;2019,v.1;2018,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3495/
Communicative &#x0026; Integrative Biology,0,Commun Integr Biol,,1942-0889,Taylor &#x0026; Francis,101478473,v.11(5-6);2018,v.1;2008,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/807/
Community Eye Health,0,Community Eye Health,0953-6833,1993-7288,International Centre for Eye Health,8912615,v.31(103);2018,v.11;1998,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/291/
Comparative Cytogenetics,0,Comp Cytogenet,1993-0771,1993-078X,Pensoft Publishers,101503807,v.13(1);2019,v.5;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2238/
Comparative and Functional Genomics,0,Comp Funct Genomics,1531-6912,1532-6268,Hindawi Limited,101090797,v.2012;2012,v.2;2001,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/418/
Comparative Hepatology,0,Comp Hepatol,,1476-5926,BioMed Central,101147643,v.11;2012,v.1;2002,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/109/
Comparative Medicine,0,Comp Med,1532-0820,,American Association for Laboratory Animal Science,100900466,v.68(6);Dec 2018,v.58;2008,6 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/833/
Computational Intelligence and Neuroscience,0,Comput Intell Neurosci,1687-5265,1687-5273,Hindawi Limited,101279357,v.2019;2019,v.2007;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/526/
Computational and Mathematical Methods in Medicine,0,Comput Math Methods Med,1748-670X,1748-6718,Hindawi Limited,101277751,v.2019;2019,v.2011;2011,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1426/
Computational and Structural Biotechnology Journal,0,Comput Struct Biotechnol J,,2001-0370,Research Network of Computational and Structural Biotechnology,101585369,v.17;2019,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2373/
COMSIG Review,0,COMSIG Rev,,,BioMed Central,9421515,"v.4(3);Nov 1, 1995",v.1;1992,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/473/
Concussion,0,Concussion,,2056-3299,Future Science Group,101672433,v.3(4);Dec 2018,v.1;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3460/
Conflict and Health,0,Confl Health,,1752-1505,BioMed Central,101286573,v.13;2019,v.1;2007,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/477/
Conservation Physiology,0,Conserv Physiol,,2051-1434,Oxford University Press,101656116,v.7(1);2019,v.1;2013,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2790/
Contemporary Clinical Dentistry,0,Contemp Clin Dent,0976-237X,0976-2361,Wolters Kluwer -- Medknow Publications,101552967,v.9(3);Jul-Sep 2018,v.1;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1605/
Contemporary Clinical Trials Communications,0,Contemp Clin Trials Commun,,2451-8654,Elsevier,101671157,v.14;Jun 2019,v.1;2015,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3365/
Contemporary Oncology,0,Contemp Oncol (Pozn),1428-2526,1897-4309,Termedia Publishing,101233223,v.22(1A);Mar 2018,v.16;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2127/
Continuum : Lifelong Learning in Neurology,0,Continuum (Minneap Minn),1080-2371,1538-6899,American Academy of Neurology,9509333,"v.23(3);Jun 2, 2017",v.18;2012,,No, Full , Now Select ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Continuum+(Minneap+Minn)%22%5Bjournal%5D
Contraception and Reproductive Medicine,0,Contracept Reprod Med,,2055-7426,BioMed Central,101703414,v.4;2019,v.1;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3341/
Contrast Media &#x0026; Molecular Imaging,0,Contrast Media Mol Imaging,1555-4309,1555-4317,Hindawi Limited,101286760,v.2019;2019,v.2017;2017,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3289/
Core Evidence,0,Core Evid,1555-1741,1555-175X,Dove Press,101256593,v.13;2018,v.1;2005,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1264/
Cost Effectiveness and Resource Allocation : C/E,0,Cost Eff Resour Alloc,,1478-7547,BioMed Central,101170476,v.17;2019,v.1;2003,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/198/
"Cough (London, England)",0,Cough,,1745-9974,BioMed Central,101245793,v.10;2014,v.1;2005,,All, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/352/
CPT: Pharmacometrics &#x0026; Systems Pharmacology,0,CPT Pharmacometrics Syst Pharmacol,,2163-8306,Wiley-Blackwell,101580011,v.7(12);Dec 2018,v.1;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2038/
Craniomaxillofacial Trauma &#x0026; Reconstruction,0,Craniomaxillofac Trauma Reconstr,1943-3875,1943-3883,Thieme Medical Publishers,101541666,v.11(4);Dec 2018,v.1;2008,12 months,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1449/
Critical Care,0,Crit Care,1364-8535,1466-609X,BioMed Central,9801902,v.23;2019,v.1;1997,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/9/
Critical Care Research and Practice,0,Crit Care Res Pract,2090-1305,2090-1313,Hindawi Limited,101539357,v.2018;2018,v.2010;2010,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1315/
Critical Ultrasound Journal,0,Crit Ultrasound J,2036-3176,2036-7902,Springer-Verlag,101517925,v.10;2018,v.4;2012,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1837/
Croatian Medical Journal,0,Croat Med J,0353-9504,1332-8166,Medicinska Naklada,9424324,v.59(6);Dec 2018,v.47;2006,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/394/
Curationis,0,Curationis,0379-8577,2223-6279,AOSIS,7901092,v.41(1);2018,v.38;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3503/
Cureus,0,Cureus,,2168-8184,Cureus Inc.,101596737,v.11(1);Jan 2019,v.7;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2757/
Current Cardiology Reviews,0,Curr Cardiol Rev,1573-403X,1875-6557,Bentham Science Publishers,101261935,v.14(4);Nov 2018,v.4;2008,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/982/
Current Chemical Genomics and Translational Medicine,0,Curr Chem Genom Transl Med,,2213-9885,Bentham Science Publishers,101616960,v.12;2018,v.7;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2275/
Current Chemical Genomics,0,Curr Chem Genomics,,1875-3973,Bentham Science Publishers,101513465,v.6;2012,v.1;2008,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/983/
Current Controlled Trials in Cardiovascular Medicine,0,Curr Control Trials Cardiovasc Med,1468-6708,1468-6694,BioMed Central,100968052,v.6(1);2005,v.1;2000,Immediate,All, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/79/
Current Developments in Nutrition,0,Curr Dev Nutr,,2475-2991,American Society for Nutrition,101717957,v.3(1);Jan 2019,v.1;2017,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3465/
Current Genomics,0,Curr Genomics,1389-2029,1875-5488,Bentham Science Publishers,100960527,v.19(8);Dec 2018,v.7;2006,6 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/556/
Current Gerontology and Geriatrics Research,0,Curr Gerontol Geriatr Res,1687-7063,1687-7071,Hindawi Limited,101484307,v.2019;2019,v.2008;2008,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/882/
Current Health Sciences Journal,0,Curr Health Sci J,2067-0656,2069-4032,Editura Medical&#x0103; Universitar&#x0103;,101597164,v.44(3);Jul-Sep 2018,v.35;2009,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2325/
Current Medical Mycology,0,Curr Med Mycol,2423-3439,2423-3420,Mazandaran University of Medical Sciences,101647935,v.4(3);Sep 2018,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3201/
Current Neuropharmacology,1,Curr Neuropharmacol,1570-159X,1875-6190,Bentham Science Publishers,101157239,v.16(10);Dec 2018,v.3;2005,6 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/555/
Current Oncology,0,Curr Oncol,1198-0052,1718-7729,Multimed Inc.,9502503,v.25(6);Dec 2018,v.13;2006,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/481/
Current Reviews in Musculoskeletal Medicine,0,Curr Rev Musculoskelet Med,1935-973X,1935-9748,Humana Press,101317803,v.11(4);Dec 2018,v.1;2008,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/838/
"Current Therapeutic Research, Clinical and Experimental",0,Curr Ther Res Clin Exp,0011-393X,1879-0313,Elsevier,372621,v.90;2019,v.64;2003,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2247/
Current Urology,0,Curr Urol,1661-7649,1661-7657,Karger Publishers,101471188,v.12(1);Oct 2018,v.6;2012,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1307/
Current Zoology,0,Curr Zool,1674-5507,2396-9814,Oxford University Press,101508778,v.65(1);Feb 2019,v.62;2016,Immediate,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3230/
